投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
498906,上汽斯柯达,Yeti,2017款 TSI280 DSG 前行版,斯柯达Yeti车内材质不合格导致异味,车身附件及电器:车内异味 ,2020-07-20,处理反馈
498901,东风本田,享域,2019款 180TURBO CVT 乐享版 国V,东风本田享域优科豪马轮胎右前轮起皮掉块,轮胎:起皮 ,2020-07-20,处理反馈
498898,东风雪铁龙,天逸 C5 AIRCROSS,2017款 350THP 时尚型,东风雪铁龙天逸C5 AIRCROSS车顶漏水,车身附件及电器:车身漏水 ,2020-07-20,处理反馈
498896,东风标致,标致307,2007款 新307 1.6 自动 舒适版,东风标致307油箱漏油希望尽快处理,车身附件及电器:汽油箱漏油 ,2020-07-20,处理反馈
498890,众泰汽车,大迈X7,2017款 1.8T 手动 豪华型,众泰大迈X7元宝梁一直无货希望处理,车身附件及电器:玻璃开裂 配件争议:无零配件 ,2020-07-20,信息审核
498889,集瑞联合,340U,重卡,集瑞联合340U重卡经销商出售库存车,销售欺诈:出售库存车 ,2020-07-20,信息审核
498887,上汽斯柯达,明锐,2015款 1.6L 自动 逸俊版,斯柯达明锐车内异味严重希望尽快处理,车身附件及电器:车内异味 ,2020-07-20,处理反馈
498884,一汽大众,捷达VS7,2020款 1.4T 自动 荣耀型,捷达VS7下雨时发动机舱漏水希望处理,车身附件及电器:车身漏水 ,2020-07-20,用户评分
498883,一汽大众,捷达VS5,2019款 280TSI 自动 进取型,捷达VS5刹车异响 密封条开裂 玻璃升降故障,制动系统:异响 车身附件及电器:车窗升降故障 车身附件及电器:密封条损坏 车身附件及电器:喇叭故障 ,2020-07-20,处理反馈
498882,沃尔沃（进口）,沃尔沃XC60（进口）,2012款 2.0T DCT T5舒适版,进口沃尔沃XC60变速箱无法加速没有倒挡,变速器:无法加速 变速器:脱挡 ,2020-07-20,信息审核
498880,奇瑞汽车,艾瑞泽GX,2019款 Pro 1.5T CVT 型色版 国VI,奇瑞艾瑞泽GX变速箱顿挫希望处理,变速器:顿挫 ,2020-07-20,处理反馈
498877,广汽本田,飞度,2004款 两厢飞度 1.5 AT CVT,广汽本田飞度变速箱抖动倒挡异响严重,变速器:异响 变速器:抖动 ,2020-07-20,处理反馈
498873,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透镜发白希望处理,车身附件及电器:车灯不亮 ,2020-07-20,处理反馈
498869,上汽大众,途安,2018款 途安L 280TSI DSG 舒适版 7座 国VI,上汽大众途安天窗漏水4S店操作不规范,车身附件及电器:天窗漏水 人员技术:操作不规范 ,2020-07-20,处理反馈
498865,一汽丰田,亚洲龙,2019款 双擎 2.5L 豪华版 国Ⅵ,一汽丰田亚洲龙安全带异响希望处理,车身附件及电器:安全带故障 ,2020-07-20,信息审核
498860,众泰汽车,众泰T600,2016款 2.0T  自动 尊贵型 运动版,众泰T600踩油门无法行驶 变速箱噪音大,变速器:异响 变速器:无法加速 ,2020-07-20,厂家受理
498858,东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408涡轮增压电磁阀故障导致故障灯亮,发动机:涡轮增压器故障 ,2020-07-20,处理反馈
498855,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 进取型 国VI,奥迪A4L仪表台异响车身抖动变速箱顿挫,变速器:顿挫 车身附件及电器:车身共振 车身附件及电器:中控台异响 ,2020-07-20,信息审核
498853,吉利汽车,博瑞,2015款 1.8T 尊贵型,吉利博瑞高速行驶中出现电动助力转向故障,转向系统:打方向沉重 转向系统:故障灯亮 ,2020-07-20,处理反馈
498852,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动转动方向盘时有严重的异响,转向系统:异响 ,2020-07-20,信息审核
498850,华晨宝马,宝马X1,2020款 xDrive25Li 尊享型,华晨宝马X1倍耐力轮胎鼓包影响安全,轮胎:鼓包 ,2020-07-20,处理反馈
498844,东风悦达起亚,智跑,2019款 2.0L 自动 智享豪华版,东风悦达起亚智跑启动后发动机异响,发动机:异响 ,2020-07-20,信息审核
498842,BEIJING汽车,绅宝D50,2019款 1.5L CVT 尊贵版 国V,绅宝D50经销商承诺不兑现配件未按时到货,配件争议:未按时到货 ,2020-07-20,处理反馈
498840,北汽银翔,幻速S5,2017款 1.3T CVT 豪华型,北汽幻速S5方向盘失灵ESP报警4S店无配件,转向系统:方向盘不正 制动系统:ABS故障 制动系统:刹车泵故障 人员技术:多次返修 配件争议:无零配件 ,2020-07-20,信息审核
498837,比亚迪,比亚迪L3,2013款 1.5L 自动 舒适型,比亚迪L3 OBD连接不上升级需收费,车身附件及电器:行车电脑故障 ,2020-07-20,处理反馈
498830,吉利新能源,帝豪GSe,2018款 臻尚型,吉利帝豪GSe后排车厢底部有漏水的现象,车身附件及电器:车身漏水 ,2020-07-20,处理反馈
498829,江淮汽车,瑞风S3,2018款 1.5L 手动 豪华智能型 智驱版,江淮瑞风S3开启空调后再关闭时有异响,前后桥及悬挂系统:底盘异响 前后桥及悬挂系统:吃胎偏磨 车身附件及电器:影音系统故障 车身附件及电器:空调问题 ,2020-07-20,处理反馈
498828,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408发动机故障灯亮烧机油,发动机:故障灯亮 发动机:烧机油 ,2020-07-20,处理反馈
498827,长安校车,长安校车,大型专用校车,长安校车车身漆面开裂掉漆越来越严重,车身附件及电器:漆面起泡开裂 车身附件及电器:车身漏水 ,2020-07-20,信息审核
498821,上汽大众,途观,2012款 1.4TSI 手动 两驱 都会版,上汽大众途观4S店用外采件充当原装配件,配件争议:使用非原厂件 ,2020-07-20,处理反馈
498820,一汽-大众奥迪,奥迪A6L,2014款 30 FSI CVT  舒适型,一汽大众奥迪A6L天窗漏水维修两次未解决,车身附件及电器:天窗漏水 ,2020-07-20,信息审核
498818,长安马自达,马自达CX-5,2015款 2.0L 自动 两驱 都市型,长安马自达CX-5转向机拉杆断裂要求解决,转向系统:失灵 ,2020-07-20,处理反馈
498809,东南汽车,东南DX3,2016款 1.5L 手动 尊贵型,东南DX3两后减震器漏油4S店不予保修,前后桥及悬挂系统:减震器漏油 服务态度:不予索赔 ,2020-07-20,厂家受理
498807,一汽-大众奥迪,奥迪A6L,2016款 45 TFSI 双离合 quattro 运动型,一汽大众奥迪A6L转向机卡死4S店不予解决,转向系统:卡滞 转向系统:转向机故障 服务态度:不予索赔 其他:疑似设计缺陷 ,2020-07-20,信息审核
498806,东南汽车,东南DX3,2017款 1.5T 手动 尊贵型,东南DX3正常行驶中发生自燃存在质量问题,车身附件及电器:车辆自燃 ,2020-07-20,厂家受理
498804,一汽-大众,迈腾,2019款 330TSI DSG 领先型 国V,一汽大众迈腾车身异响影响驾驶感受,车身附件及电器:车身异响 ,2020-07-20,用户评分
498800,一汽丰田,亚洲龙,2019款 双擎 2.5L 豪华版 国Ⅵ,一汽丰田亚洲龙故障灯亮疑似进气格栅故障,发动机:故障灯亮 ,2020-07-20,信息审核
498799,东风日产,天籁,2013款 2.0L XL 舒适版,东风日产天籁变速箱漏油 发动机烧机油,发动机:烧机油 变速器:漏油 ,2020-07-20,处理反馈
498796,一汽-大众,宝来,2018款 1.5L 手动 舒适型,一汽大众宝来天窗漏水4S店不予解决,车身附件及电器:天窗漏水 人员技术:查不出原因 ,2020-07-20,用户评分
498793,东风日产,楼兰,2019款 2.5L XL Plus 两驱 智联领先版 国V,东风日产楼兰前风挡生产日期与车门玻璃不符,销售欺诈:出售问题车 ,2020-07-20,处理反馈
498792,一汽丰田,卡罗拉,2019款 双擎 1.8L E-CVT GL-i精英版,一汽丰田卡罗拉主驾驶座椅出现倾斜,车身附件及电器:座椅故障 服务态度:不予索赔 ,2020-07-20,信息审核
498785,北京汽车,威旺M50F,2017款 1.3T 豪华型,北汽威旺M50F颠簸时方向管柱异响,转向系统:异响 配件争议:无零配件 ,2020-07-20,厂家受理
498780,吉利汽车,帝豪,2017款 1.5L CVT 向上版 三厢 百万款,吉利帝豪前大灯内部出现白色粉末状,车身附件及电器:灯罩裂纹或变形 ,2020-07-20,处理反馈
498778,雷克萨斯,雷克萨斯ES,2020款 300h 卓越版,雷克萨斯ES前排左右门板异响 仪表台异响,车身附件及电器:门窗异响 车身附件及电器:中控台异响 ,2020-07-20,厂家受理
498772,华晨中华,中华V7,2018款 280T DCT 尊贵型 5座,华晨中华V7天窗漏水 顶棚脱落 售后无配件,车身附件及电器:车身装饰脱落 配件争议:无零配件 ,2020-07-20,信息审核
498769,知豆电动车,知豆D2,2017款 D2S,知豆D2行驶中无法提速充电故障4S店拒赔,发动机:无法提速 发动机:电驱动控制器故障 车身附件及电器:充电故障 服务态度:不予索赔 承诺不兑现:销售承诺不兑现 服务流程不完善:服务网点少 ,2020-07-20,厂家受理
498766,长安汽车,长安CS75 PLUS,2020款 1.5T 自动 尊贵型,长安CS75 PLUS天窗漏水存在质量问题,车身附件及电器:天窗漏水 ,2020-07-20,用户评分
498763,庆铃,皮卡,多用途货车,庆铃皮卡发动机故障灯亮4S店没有配件,发动机:故障灯亮 车身附件及电器:汽油泵故障 配件争议:无零配件 ,2020-07-20,信息审核
498761,沃尔沃亚太,沃尔沃S90,2020款 T5 智逸豪华版,亚太沃尔沃S90踩刹车时存在异响,制动系统:异响 ,2020-07-20,信息审核
498757,一汽大众,捷达VS7,2020款 1.4T 自动 荣耀型,捷达VS7导水槽漏水存在质量问题,车身附件及电器:车身漏水 ,2020-07-20,处理反馈
498755,上汽大众,桑塔纳,2019款 浩纳 1.5L 手动 风尚版 国VI,上汽大众桑塔纳车灯漏水发动机异响,发动机:异响 车身附件及电器:车灯进水 服务态度:不解决问题 承诺不兑现:服务承诺不兑现 ,2020-07-20,处理反馈
498754,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸韩泰轮胎有裂纹车内异味,轮胎:开裂 车身附件及电器:车内异味 ,2020-07-20,处理反馈
498752,北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜行驶中发动机异响中控台异响,发动机:异响 车身附件及电器:中控台异响 ,2020-07-20,信息审核
498744,长安马自达,马自达CX-5,2017款 2.0L 自动 两驱 智享型 国V,长安马自达CX-5变速箱漏油维修后未解决,变速器:漏油 ,2020-07-20,处理反馈
498739,吉利汽车,帝豪GL,2018款 1.4T 手动 精英智联型,吉利帝豪GL变速箱一挡无法挂入影响驾驶,变速器:无法换挡 ,2020-07-20,处理反馈
498738,广汽本田,凌派,2019款 180Turbo CVT 豪华版 国VI,广汽本田凌派右后玻璃无法升降,车身附件及电器:车窗升降故障 ,2020-07-20,处理反馈
498737,长安马自达,马自达3 昂克赛拉,2014款 1.5L 自动 舒适型 三厢,长安马自达昂克赛拉安全带收缩时无力,车身附件及电器:安全带故障 ,2020-07-20,用户评分
498729,一汽丰田,亚洲龙,2019款 双擎 2.5L 豪华版 国Ⅵ,一汽丰田亚洲龙发动机机油增多中控台异响,发动机:机油增多 车身附件及电器:中控台异响 人员技术:多次返修 ,2020-07-20,信息审核
498722,一汽-大众,迈腾,2020款 330TSI DSG 豪华型,一汽大众迈腾空调故障行驶中失去动力,发动机:动力消失 车身附件及电器:空调问题 服务态度:不解决问题 ,2020-07-20,处理反馈
498720,中国重汽,豪沃,货车,重汽豪沃车身摆动 动力不足希望处理,发动机:功率不足 ,2020-07-20,信息审核
498717,一汽大众,捷达VS5,2019款 280TSI 自动 悦享型,捷达VS5行驶颠簸路面时方向盘底部异响,转向系统:异响 ,2020-07-20,处理反馈
498715,长安汽车,长安CS75 PHEV,2018款 1.5T PHEV 进取型,长安CS75 PHEV挡位杆松动 4S店查不出原因,变速器:挡把总成故障 前后桥及悬挂系统:车轮异响 人员技术:查不出原因 ,2020-07-20,处理反馈
498714,BEIJING汽车,绅宝X55,2016款 1.5T CVT 精英版,绅宝X55自动感应雨刮器不灵敏影响使用,车身附件及电器:雨刮器故障 ,2020-07-20,处理反馈
498712,北京现代,现代ix25,2020款 1.5L CVT 智能型,北京现代ix25中控屏塑料部件严重异响,车身附件及电器:中控台异响 ,2020-07-20,信息审核
498708,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 豪华型 三厢,长安马自达昂克赛拉中控显示屏龟裂,车身附件及电器:部件开裂 ,2020-07-20,处理反馈
498707,猎豹汽车,Mattu,2018款 1.6T GDI DCT 尊贵型,猎豹Mattu变速箱无动力输出ESC系统报警,变速器:无法加速 制动系统:ABS故障 ,2020-07-20,信息审核
498702,上汽通用五菱,新宝骏RS-3,2020款 1.5L 手动 24小时在线精英型,新宝骏RS-3服务站未告知的情况下出售库存车,销售欺诈:出售库存车 ,2020-07-20,信息审核
498700,一汽-大众奥迪,奥迪A6L,2014款 35 FSI CVT 舒适型,一汽大众奥迪A6L大灯进水希望尽快处理,车身附件及电器:车灯进水 ,2020-07-20,信息审核
498698,东风启辰,启辰D60,2019款 1.6L XE 手动 舒适版 国V,启辰D60尾箱盖漆面掉漆生锈要求尽快解决,车身附件及电器:车身生锈 车身附件及电器:漆面起泡开裂 ,2020-07-20,信息审核
498696,东风标致,标致408,2013款 1.6 手动 舒适版,东风标致408车内异味严重要求尽快解决,车身附件及电器:车内异味 ,2020-07-20,处理反馈
498694,北汽新能源,北汽新能源EC,2017款 EC180 灵秀版,北汽新能源EC行驶颠簸路段时气囊爆开,车身附件及电器:气囊故障 ,2020-07-20,处理反馈
498692,东风本田,本田CR-V,2017款 2.0L 净驰版 混动,东风本田CR-V中控无操作指令自动输入内容,车身附件及电器:影音系统故障 ,2020-07-20,处理反馈
498690,一汽-大众,宝来,2018款 1.5L 自动 舒适型,一汽大众宝来发动机漏油渗油一直未解决,发动机:漏油 ,2020-07-20,处理反馈
498687,众泰汽车,众泰E200,2018款 Pro,众泰E200方向盘异响 4S店不予保修,转向系统:异响 服务态度:不予索赔 ,2020-07-20,信息审核
498685,宝马（进口）,宝马X6,2011款 xDrive35i,宝马X6前传动轴十字轴断裂打坏变速箱外壳,车身附件及电器:部件开裂 车身附件及电器:四驱系统故障 ,2020-07-20,厂家受理
498676,吉利汽车,帝豪GS,2016款 1.8L 手动 领尚型 运动版,吉利帝豪GS事故后压缩机未定损异响严重,人员技术:粗心大意 ,2020-07-20,处理反馈
498673,一汽-大众,宝来,2019款 1.5L 自动 时尚型,一汽大众宝来起步或加速时发动机爆震,发动机:异响 发动机:爆震 ,2020-07-20,处理反馈
498671,Jeep（进口）,指南者（进口）,2013款 2.0L CVT 豪华版,进口Jeep指南者车内异味严重影响身体健康,车身附件及电器:车内异味 ,2020-07-20,厂家受理
498669,雷克萨斯,雷克萨斯NX,2018款 300h 前驱 锋尚版 国VI,雷克萨斯NX导航不灵敏 更新不及时	,车身附件及电器:导航问题 ,2020-07-20,信息审核
498668,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸质保期内行驶中自燃,车身附件及电器:车辆自燃 ,2020-07-20,处理反馈
498663,东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲智版,东风雪铁龙C4L方向盘自由间隙过大导致晃动,转向系统:方向盘自由间隙过大 ,2020-07-20,处理反馈
498660,奇瑞新能源,艾瑞泽5e,2018款 450 智尚版,奇瑞艾瑞泽5e电机控制器损坏一直没有配件,发动机:电驱动控制器故障 配件争议:无零配件 ,2020-07-20,厂家受理
498658,一汽-大众奥迪,奥迪A6L,2019款 45 TFSI 臻选动感型,一汽大众奥迪A6L变速箱渗油 4S店不解决,变速器:漏油 ,2020-07-20,信息审核
498655,北京奔驰,奔驰GLK,2013款 300 4MATIC 动感天窗型,北京奔驰GLK变速箱进水无法行驶,变速器:无法加速 ,2020-07-20,信息审核
498648,广汽本田,雅阁,2018款 2.0L 锐智版 锐·混动 国VI,广汽本田雅阁副驾驶电动座椅调节间歇性失灵,车身附件及电器:座椅故障 ,2020-07-20,处理反馈
498647,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳两前大灯亮度不足起白雾,车身附件及电器:车灯不亮 ,2020-07-20,用户评分
498646,吉利汽车,帝豪GL,2017款 1.8L 手动 精英型,吉利帝豪GL高速踩刹车方向盘抖动,制动系统:抖动 ,2020-07-20,处理反馈
498644,福田汽车,奥铃,福田牌BJ2048Y7JES_FC,福田奥铃传动轴自然脱落导致无法行驶,前后桥及悬挂系统:半轴脱落 ,2020-07-20,厂家受理
498642,东风雪铁龙,雪铁龙C4L,2014款 1.6THP 自动 车载互联劲智型,东风雪铁龙C4L汽油泵功率低节温器损坏,发动机:冷却系统故障 车身附件及电器:汽油泵故障 服务流程不完善:活动不通知 ,2020-07-20,处理反馈
498640,广汽本田,锋范,2015款 1.5L 手动 进取版,广汽本田锋范冷车启动发动机异响希望解决,发动机:异响 ,2020-07-20,处理反馈
498637,吉利汽车,远景S1,2018款 1.4T CVT 锋睿型,吉利远景S1变速箱起步抖动一直未解决,变速器:抖动 ,2020-07-20,处理反馈
498636,一汽丰田,RAV4荣放,2015款 2.0L CVT 两驱都市版,一汽丰田RAV4荣放右前侧半轴防尘套漏油,前后桥及悬挂系统:半轴渗油 ,2020-07-20,信息审核
498635,华晨宝马,宝马3系,2020款 325i M运动曜夜套装,华晨宝马3系交了订金后提不到车且不退订金,服务收费:定（订）金纠纷 ,2020-07-20,处理反馈
498629,上汽大众,朗逸,2019款 1.5L 自动 舒适版 国VI,上汽大众朗逸挡风玻璃破裂 加速时变速箱异响,变速器:异响 车身附件及电器:玻璃开裂 ,2020-07-20,处理反馈
498628,吉利汽车,远景,2018款 1.5L 手动 幸福版,吉利远景日间行车灯起雾存在质量问题,车身附件及电器:车灯进水 ,2020-07-20,用户评分
498625,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 时尚型 国VI,一汽大众奥迪A4L车内异味要求厂家处理,车身附件及电器:车内异味 ,2020-07-20,信息审核
498616,长安马自达,马自达3,2010款 1.6 手动 经典款时尚型,长安马自达3仪表内饰出现裂纹希望处理,车身附件及电器:部件开裂 ,2020-07-20,处理反馈
498615,领克汽车,领克01,2017款 2.0T 自动 两驱 耀Pro,领克01天窗漏水 车门异响 刹车抱死,制动系统:刹车泵故障 车身附件及电器:门窗异响 车身附件及电器:车载互联故障 车身附件及电器:天窗漏水 ,2020-07-20,处理反馈
498614,奇瑞捷豹路虎,揽胜极光,2020款 249PS R-DYNAMIC S 运动版,奇瑞捷豹路虎揽胜极光下摆臂异响,前后桥及悬挂系统:底盘异响 前后桥及悬挂系统:下摆臂故障 ,2020-07-20,处理反馈
498613,一汽丰田,RAV4荣放,2019款 2.0L CVT 两驱 先锋版 国V,一汽丰田RAV4荣放4S店喷漆质量差,人员技术:多次返修 人员技术:修出新问题 人员技术:维修技术差 ,2020-07-20,信息审核
498611,上汽大众,途观L,2018款 380TSI 自动 四驱 豪华版,上汽大众途观L变速箱机电单元故障,变速器:电脑板故障 ,2020-07-20,处理反馈
498610,广汽菲克菲亚特,致悦,2014款 1.4T 自动 舒适型,广汽菲亚特致悦行驶中变速箱失去动力,变速器:无法加速 变速器:机械部件故障 服务态度:不予索赔 ,2020-07-20,厂家受理
498607,北京奔驰,奔驰GLA,2016款 200 动感型,北京奔驰GLA发动机故障灯亮希望厂家处理,发动机:故障灯亮 ,2020-07-20,信息审核
498606,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408发动机烧机油厂家召回未通知,发动机:烧机油 服务流程不完善:活动不通知 ,2020-07-20,处理反馈
498599,东风风行,景逸S50,2016款 1.5L 手动 尊享型,东风风行景逸S50车身生锈希望处理,车身附件及电器:车身生锈 ,2020-07-20,处理反馈
498598,吉利汽车,帝豪,2016款 1.3T 手动 向上版 三厢,吉利帝豪发动机缸压不足抖动4S店无法解决,发动机:抖动 发动机:功率不足 服务态度:不解决问题 人员技术:多次返修 ,2020-07-20,用户评分
498596,上汽斯柯达,明锐,2017款 1.6L 手动 智行版,斯柯达明锐天窗有裂纹导致下雨时漏水,车身附件及电器:天窗漏水 ,2020-07-20,用户评分
498594,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动耐克森轮胎胎面变形严重,轮胎:胎面变形 ,2020-07-20,处理反馈
498591,上汽斯柯达,昊锐,2010款 1.4TSI 手动 智雅版,斯柯达昊锐车内异味严重一直无法解决,车身附件及电器:车内异味 ,2020-07-20,处理反馈
498583,一汽丰田,卡罗拉,2018款 1.2T S-CVT GL智享版,一汽丰田卡罗拉原厂普利司通轮胎开裂,轮胎:开裂 ,2020-07-20,信息审核
498580,领克汽车,领克01,2018款 2.0T 两驱型 +版,领克01刹车时存在异响4S检查告知正常,制动系统:异响 ,2020-07-20,处理反馈
498579,一汽-大众奥迪,奥迪Q5,2017款 2.0T 40 TFSI 进取型,一汽大众奥迪Q5节温器及水泵故障,发动机:冷却系统故障 发动机:水泵故障 ,2020-07-20,信息审核
498575,一汽丰田,卡罗拉,2019款 1.2T S-CVT GL-i精英版,一汽丰田卡罗拉车机系统黑屏发动机异响,发动机:异响 变速器:异响 变速器:顿挫 车身附件及电器:门窗异响 车身附件及电器:车载互联故障 服务态度:不解决问题 服务态度:态度蛮横 服务态度:互相推诿 人员技术:多次返修 ,2020-07-20,信息审核
498572,广汽讴歌,讴歌RDX,2019款 2.0T 智享版SH-AWD 国V,广汽讴歌RDX高速行驶中发动机无动力输出,发动机:故障灯亮 发动机:动力消失 ,2020-07-20,信息审核
498571,华晨宝马,宝马3系,2017款 320i M 运动型,华晨宝马3系漏冷却液无提示导致发动机拉缸,发动机:冷却系统故障 发动机:拉缸 ,2020-07-20,厂家受理
498568,北京奔驰,奔驰A级,2020款 改款 A 200 L 运动轿车动感型,北京奔驰A级开启空调后发动机抖动,发动机:抖动 ,2020-07-20,信息审核
498563,一汽-大众奥迪,奥迪Q3,2015款 35 TFSI 进取型 5座,一汽大众奥迪Q3车内异味要求厂家尽快解决,车身附件及电器:车内异味 ,2020-07-20,信息审核
498560,华晨宝马,宝马X3,2020款 xDrive28i M运动套装,华晨宝马X3车机系统功能与宣传不符,销售欺诈:与宣传不符 ,2020-07-20,厂家受理
498558,一汽-大众,迈腾,2018款 380TSI DSG 豪华型 改款,一汽大众迈腾行驶中水泵异响希望给予解决,发动机:水泵故障 ,2020-07-20,用户评分
498556,北京现代,领动,2019款 1.4T 双离合 炫动·活力型,北京现代领动4S店保养后仪表盘出现划痕,服务态度:不解决问题 服务态度:互相推诿 人员技术:修出新问题 服务流程不完善:未经同意维修 ,2020-07-20,信息审核
498555,吉利汽车,帝豪,2014款 1.5L 手动 时尚型 三厢,吉利帝豪左后叶子板生锈希望得到处理,车身附件及电器:车身生锈 ,2020-07-20,处理反馈
498552,东风本田,本田UR-V,2017款 370TURBO 四驱 尊享版 国V,东风本田UR-V颠簸路面后排座位异响,车身附件及电器:车内异响 ,2020-07-20,处理反馈
498544,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动跑高速时岀现方向卡滞	,转向系统:卡滞 ,2020-07-20,信息审核
498539,东风标致,标致3008,2013款 1.6T 自动 THP至尚版,东风标致3008 ABS和ESP系统故障报警,制动系统:ABS故障 车身附件及电器:油箱有缺陷 ,2020-07-20,处理反馈
498537,广汽本田,飞度,2018款 1.5L CVT 舒适天窗版,广汽本田飞度冷车启动发动机有打齿声,发动机:异响 ,2020-07-20,处理反馈
498529,上汽通用五菱,五菱宏光S3,2018款 1.5T 手动 豪华型 国V,上汽通用五菱宏光S3变速箱异响要求更换,变速器:异响 ,2020-07-20,信息审核
498528,奇瑞汽车,艾瑞泽5,2017款 1.5L 手动 领潮版,奇瑞艾瑞泽5整车故障多厂家不予解决,服务态度:不解决问题 ,2020-07-20,用户评分
498527,一汽-大众奥迪,奥迪A3,2020款 Limousine 35 TFSI 进取型 国VI,一汽大众奥迪A3倒车影像摄像头损坏,车身附件及电器:影音系统故障 服务态度:不解决问题 ,2020-07-20,信息审核
498521,广汽本田,雅阁,2015款 2.0L EXN 豪华导航版,广汽本田雅阁4S店保养时车辆涉水不解决,服务态度:不解决问题 ,2020-07-19,处理反馈
498516,海马汽车,海马M6,2016款 1.6L 手动 舒适型,海马M6发动机异响噪音大刹车异响,发动机:异响 发动机:噪音大 制动系统:异响 前后桥及悬挂系统:减震器生锈 其他:厂家不召回 ,2020-07-19,处理反馈
498506,东风乘用车,奕炫,2020款 230T 自动 炫目版,东风风神奕炫方向跑偏 后尾灯进水起雾,前后桥及悬挂系统:跑偏 车身附件及电器:车灯进水 ,2020-07-19,处理反馈
498500,众泰汽车,大迈X5,2017款 1.5T 手动 豪华型 升级版,众泰大迈X5发动机无法启动 故障灯亮,发动机:故障灯亮 发动机:无法启动 ,2020-07-19,处理反馈
498499,猎豹汽车,Mattu,2018款 1.6T GDI DCT 精英型,猎豹Mattu无动力输出 售后服务承诺不兑现,变速器:无法加速 承诺不兑现:服务承诺不兑现 ,2020-07-19,信息审核
498498,北京现代,现代ix25,2015款 1.6L 自动 两驱 智能型 GLS 5座,北京现代ix25排气管生锈 方向盘下方异响,转向系统:异响 转向系统:方向盘自由间隙过大 车身附件及电器:排气管锈蚀 车身附件及电器:车门把手故障 ,2020-07-19,信息审核
498496,上汽大众,凌渡,2019款 230TSI DSG 风尚版 国VI,上汽大众凌渡新车变速箱挂倒挡异响,变速器:异响 ,2020-07-19,处理反馈
498495,一汽-大众,高尔夫,2012款 1.4TSI DSG 舒适型,一汽大众高尔夫4S店以各种理由拒绝保修,服务态度:不予索赔 ,2020-07-19,处理反馈
498492,吉利汽车,远景X3,2017款 1.5L 自动 精英型,吉利远景X3玲珑轮胎开裂存在质量问题,轮胎:开裂 ,2020-07-19,处理反馈
498490,长安汽车,锐程CC,2020款 1.5T 自动 酷锐型,长安锐程CC加速时变速箱无法换挡,变速器:无法换挡 ,2020-07-19,用户评分
498487,广汽丰田,凯美瑞,2007款 240G 豪华版,广汽丰田凯美瑞中控仪表台表面老化出油,车身附件及电器:仪表台开裂 ,2020-07-19,处理反馈
498482,东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲智版,东风雪铁龙C4L发动机烧机油 节温器故障,发动机:烧机油 发动机:冷却系统故障 ,2020-07-19,处理反馈
498479,一汽-大众,迈腾,2019款 330TSI DSG 领先型 国VI,一汽大众迈腾行驶时中控台和车门有异响,车身附件及电器:门窗异响 车身附件及电器:中控台异响 车身附件及电器:天窗漏水 ,2020-07-19,处理反馈
498476,长安马自达,马自达CX-5,2019款 2.0L 自动 两驱 智享型 云控版 国VI,长安马自达CX-5行驶过程中变速箱有异响,变速器:异响 ,2020-07-19,处理反馈
498473,陆风汽车,陆风X2,2017款 1.6L 自动 锋锐版,陆风X2后备箱生锈 漆面掉漆 后雨刷不喷水,车身附件及电器:车身生锈 车身附件及电器:漆面起泡开裂 车身附件及电器:雨刮器故障 ,2020-07-19,信息审核
498465,上汽大众,途安,2018款 途安L 280TSI 自动 豪华版 6座,上汽大众途安两侧A柱处漏水车内线路短路,车身附件及电器:车身漏水 车身附件及电器:电路故障 ,2020-07-19,处理反馈
498463,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳变速箱异响大灯亮度不足,变速器:异响 车身附件及电器:车灯不亮 ,2020-07-19,处理反馈
498461,上汽大众,凌渡,2019款 230TSI 手动 风尚版 国V,上汽大众凌渡天窗两侧压板胶条脱落,车身附件及电器:密封条损坏 ,2020-07-19,处理反馈
498459,北京现代,索纳塔八,2013款 2.0L 豪华版,北京现代索纳塔八停放中突然自燃起火,车身附件及电器:车辆自燃 ,2020-07-19,信息审核
498457,广汽三菱,欧蓝德,2019款 2.0L 两驱 畅享版 5座 国VI,广汽三菱欧蓝德左右安全带损坏无法使用,车身附件及电器:安全带故障 ,2020-07-19,厂家受理
